,prompt,imgURL,colors
0,a painting of a Ferrari by Claude Monet,https://s3.amazonaws.com/moonup/production/uploads/1663708947819-6064e095abd8d3692e3e2ed6.jpeg,"['#2f3c6e', '#deacdf', '#e2e23b', '#b923bf', '#ed68f7']"
1,a painting of a Ferrari by Claude Monet,https://s3.amazonaws.com/moonup/production/uploads/1663708947820-6064e095abd8d3692e3e2ed6.jpeg,"['#f9b9a0', '#b30814', '#36102d', '#e240ab', '#680c26']"
2,a painting of a Ferrari by Claude Monet,https://s3.amazonaws.com/moonup/production/uploads/1663709705120-6064e095abd8d3692e3e2ed6.jpeg,"['#13bbab', '#f7e2ba', '#cb3b37', '#062726', '#055637']"
3,a photo of a beautiful sunset in San Francisco,https://s3.amazonaws.com/moonup/production/uploads/1663709952894-6064e095abd8d3692e3e2ed6.jpeg,"['#e2dcf8', '#d47a0d', '#50244c', '#b63547', '#f270f2']"
4,a photo of a beautiful sunset in San Francisco,https://s3.amazonaws.com/moonup/production/uploads/1663708947815-6064e095abd8d3692e3e2ed6.jpeg,"['#177405', '#d6f12d', '#7c1a04', '#b9a5a4', '#6ae61b']"
5,a photo of a beautiful sunset in San Francisco,https://s3.amazonaws.com/moonup/production/uploads/1663708947558-6064e095abd8d3692e3e2ed6.jpeg,"['#766dae', '#4e2806', '#e8b878', '#1c317e', '#46c21e']"
6,a photo of a elmo drinking at starbucks,https://s3.amazonaws.com/moonup/production/uploads/1663708947810-6064e095abd8d3692e3e2ed6.jpeg,"['#179209', '#eee84b', '#571208', '#b91806', '#537c91']"
7,a photo of a elmo drinking at starbucks,https://s3.amazonaws.com/moonup/production/uploads/1663709902535-6064e095abd8d3692e3e2ed6.jpeg,"['#d62fec', '#281185', '#f2bbde', '#db2f23', '#8505e1']"
8,a photo of a elmo drinking at starbucks,https://s3.amazonaws.com/moonup/production/uploads/1663708947641-6064e095abd8d3692e3e2ed6.jpeg,"['#19550f', '#a80e05', '#f5ce1f', '#f7d9cf', '#859721']"
9,a paint of a polar bear in the Arctic painted by Vincent van Gogh,https://s3.amazonaws.com/moonup/production/uploads/1663708947839-6064e095abd8d3692e3e2ed6.jpeg,"['#3de9f9', '#172eb8', '#dc44d6', '#1bd40d', '#e7d9e8']"
10,a paint of a polar bear in the Arctic painted by Vincent van Gogh,https://s3.amazonaws.com/moonup/production/uploads/1663709638276-6064e095abd8d3692e3e2ed6.jpeg,"['#f984fb', '#35208b', '#a9040f', '#d209ef', '#eed5f9']"
11,a paint of a polar bear in the Arctic painted by Vincent van Gogh,https://s3.amazonaws.com/moonup/production/uploads/1663708947805-6064e095abd8d3692e3e2ed6.jpeg,"['#143153', '#ebf521', '#7c3117', '#a8c9f2', '#66a70a']"
12,a photo of a polar bear in the zoo,https://s3.amazonaws.com/moonup/production/uploads/1663708947833-6064e095abd8d3692e3e2ed6.jpeg,"['#cd1ce0', '#f397ec', '#980d30', '#3e231a', '#713789']"
13,a photo of a polar bear in the zoo,https://s3.amazonaws.com/moonup/production/uploads/1663708947818-6064e095abd8d3692e3e2ed6.jpeg,"['#1f15dc', '#f6c3fb', '#92edfa', '#1d2824', '#de30f2']"
